Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2010,COL,83,79,4.75,770,1452,99,0.263,1274,2349,35,1405,717,1234,4.14,663,23,0.682,0
2010,DET,81,81,4.64,751,1515,69,0.268,1147,2343,32,1445,743,1056,4.3,690,39,0.688,0
2010,FLA,80,82,4.44,719,1403,92,0.254,1375,2227,39,1433,717,1168,4.08,652,-18,0.6809999999999999,0
2010,HOU,76,86,3.77,611,1348,100,0.247,1025,1974,45,1446,729,1210,4.09,654,-52,0.68,0
2010,KCR,67,95,4.17,676,1534,115,0.27399999999999997,905,2238,44,1553,845,1035,4.97,794,-20,0.679,0
2010,LAA,80,82,4.2,681,1363,104,0.248,1070,2142,39,1422,702,1130,4.04,651,-36,0.6920000000000001,0
2010,LAD,80,82,4.12,667,1368,92,0.252,1184,2056,41,1323,692,1274,4.01,643,1,0.6970000000000001,0
2010,MIL,77,85,4.63,750,1471,81,0.262,1216,2376,35,1487,804,1258,4.58,733,-33,0.675,0
2010,MIN,94,68,4.82,781,1521,68,0.273,967,2347,40,1493,671,1048,3.95,638,2,0.69,0
2010,NYM,79,83,4.05,656,1361,130,0.249,1095,2091,36,1438,652,1106,3.7,597,33,0.691,0
2010,NYY,95,67,5.3,859,1485,103,0.267,1136,2427,39,1349,693,1154,4.06,651,14,0.7090000000000001,0
2010,OAK,81,81,4.09,663,1396,156,0.256,1061,2059,38,1315,626,1070,3.56,566,33,0.711,0
2010,PHI,97,65,4.77,772,1451,108,0.26,1064,2307,40,1402,640,1183,3.67,594,24,0.698,0
2010,PIT,57,105,3.62,587,1303,87,0.242,1207,2011,31,1567,866,1026,5.0,784,-96,0.6709999999999999,0
2010,SDP,90,72,4.1,665,1338,124,0.24600000000000002,1183,2018,49,1305,581,1295,3.39,549,37,0.703,0
2010,SEA,61,101,3.17,513,1274,142,0.23600000000000002,1184,1836,38,1402,698,973,3.93,628,31,0.705,0
2010,SFG,92,70,4.3,697,1411,55,0.257,1099,2241,57,1279,583,1331,3.36,546,24,0.7070000000000001,1
2010,STL,86,76,4.54,736,1456,79,0.263,1027,2227,32,1412,641,1094,3.57,577,5,0.6940000000000001,0
