Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
54,1993,4,128,28,Rockies,Y,Doug Walls (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Muscatine Community College ,Muscatine,IA
55,1993,5,156,28,Rockies,Y,Mike Zolecki (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,St. Mary's University ,San Antonio,TX
56,1993,6,184,28,Rockies,Y,Chad Gambill (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Clearwater HS ,Clearwater,FL
57,1993,7,212,28,Rockies,Y,John Thomson (minors),RHP,12.3,174,318,0,0.198,0.448,216,63,85,4.68,1.39,0,JC,Blinn College ,Brenham,TX
58,1993,8,240,28,Rockies,Y,Kyle Houser (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Duncanville HS ,Duncanville,TX
59,1993,9,268,28,Rockies,Y,John Myrow (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"University of California, Los Angeles ",Los Angeles,CA
60,1993,10,296,28,Rockies,Y,Edgard Clemente (minors),OF,-1.7,114,257,8,0.249,0.689,0,0,0,0,0,0,HS,Colegio Hostos ,Guaynabo,Puerto
61,1993,11,324,28,Rockies,Y,Jake Viano (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Long Beach City College ,Long Beach,CA
62,1993,12,352,28,Rockies,Y,Keith Grunewald (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of North Carolina at Chapel Hill ,Chapel Hill,NC
63,1993,13,380,28,Rockies,Y,Derrick Gibson (minors),OF,0.3,17,49,2,0.286,0.776,0,0,0,0,0,0,HS,Haines City HS ,Haines City,FL
64,1993,14,408,28,Rockies,Y,Bob Lasbury (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Manhattanville College ,Purchase,NY
65,1993,15,436,28,Rockies,N,Casey Davis (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Corsicana HS ,Corsicana,TX
66,1993,16,464,28,Rockies,Y,Nate Holdren (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Michigan ,Ann Arbor,MI
67,1993,17,492,28,Rockies,Y,Kevin Wehn (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Florida International University ,Miami,FL
68,1993,18,520,28,Rockies,Y,Morgan Burdick (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Clovis HS ,Clovis,CA
69,1993,19,548,28,Rockies,Y,Jason Johnson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Auburn University ,Auburn,AL
70,1993,20,576,28,Rockies,Y,John Giudice (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Eastern Connecticut State University ,Willimantic,CT
71,1993,21,604,28,Rockies,Y,Derrick Calvin (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Southern University and A&M College ,Baton Rouge,LA
72,1993,22,632,28,Rockies,Y,Mike Higgins (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"Rutgers, the State University of New Jersey ",New Brunswick,NJ
73,1993,23,660,28,Rockies,Y,Martin Dewitt (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Mesa Community College ,Mesa,AZ
74,1993,24,688,28,Rockies,Y,Jason Smith (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Texas at Arlington ,Arlington,TX
