,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,Gpi,W,L,ERA,WHIP,SV,Type,school,town,ST
658,1989,25,657,23,Red Sox,Y,Terre Woods (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,Hinds Community College ,Raymond,MS
659,1989,26,683,23,Red Sox,N,Sean Darrock (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Mission Bay HS ,San Diego,CA
660,1989,27,709,23,Red Sox,N,Mark Williams (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Patrick Henry Junior College ,Monroeville,AL
661,1989,28,734,22,Red Sox,N,Randy Brown (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jacinto College ,Pasadena,TX
662,1989,29,761,23,Red Sox,N,Tracy Wildes (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Sandalwood HS ,Jacksonville,FL
663,1989,30,787,23,Red Sox,Y,David Ring (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Central HS ,Columbia,TN
664,1989,31,813,23,Red Sox,N,Jerald Shelton (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Shelton State Community College ,Tuscaloosa,AL
665,1989,32,838,22,Red Sox,N,Sean Hickman (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Linn-Benton Community College ,Albany,OR
666,1989,33,865,23,Red Sox,N,Sonny Lammon (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,Solano Community College ,Fairfield,CA
667,1989,34,891,23,Red Sox,Y,Bryan Niemeyer (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Minster HS ,Minster,OH
668,1989,35,917,23,Red Sox,N,Mike Hickey (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Edmond HS ,Edmond,OK
669,1989,36,943,23,Red Sox,Y,Willie Dukes (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Mississippi Delta Community College ,Moorhead,MS
670,1989,37,969,23,Red Sox,N,Michael Canton (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,San Augustine HS ,San Augustine,TX
671,1989,38,995,23,Red Sox,Y,Papo Gonzalez (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
672,1989,39,1021,23,Red Sox,Y,John Malzone (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Massachusetts College of Liberal Arts ,North Adams,MA
673,1989,40,1047,23,Red Sox,Y,John Locker (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Michigan ,Ann Arbor,MI
674,1989,41,1073,23,Red Sox,N,Roberto Santa (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Hill College ,Hillsboro,TX
675,1990,2,41,1,Red Sox via Braves,Y,*Frankie Rodriguez (minors),RHP,1.1,14,6,0,0.167,0.333,184,29,39,5.53,1.56,5,HS,Eastern District HS ,Brooklyn,NY
676,1990,3,91,18,Red Sox,Y,Walt McKeel (minors),C,-0.3,11,16,0,0.25,0.5,0,0,0,0,0,0,HS,Greene Central HS ,Snow Hill,NC
677,1990,4,119,20,Red Sox,N,Greg Thomas (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lake Brantley HS ,Altamonte Springs,FL
678,1990,5,146,19,Red Sox,Y,Tim Tackett (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Waverly HS ,Waverly,OH
679,1990,6,173,19,Red Sox,Y,Gar Finnvold (minors),RHP,0,0,0,0,0,0,8,0,4,5.94,1.65,0,4Yr,Florida State University ,Tallahassee,FL
680,1990,7,200,19,Red Sox,Y,Todd Miller (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Temple University ,Philadelphia,PA
681,1990,8,227,19,Red Sox,N,Aaron Knieper (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Nouvel Catholic HS ,Saginaw,MI
682,1990,9,254,19,Red Sox,N,Mike Collett (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Citrus College ,Glendora,CA
683,1990,10,281,19,Red Sox,Y,Richie Borrero (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Segundo Ruiz Belvis HS ,Hormigueros,Puerto
684,1990,11,308,19,Red Sox,Y,Terry Powers (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Volunteer State Community College ,Gallatin,TN
685,1990,12,335,19,Red Sox,Y,David Schmidt (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Southwestern College ,Chula Vista,CA
686,1990,13,362,19,Red Sox,Y,Greg Graham (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Louisville ,Louisville,KY
687,1990,14,389,19,Red Sox,Y,Vinny Feno (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,New Bedford HS ,New Bedford,MA
688,1990,15,416,19,Red Sox,Y,Bruce Chick (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Georgia ,Athens,GA
689,1990,16,443,19,Red Sox,Y,Erik Plantenberg (minors),LHP,0.3,35,0,0,0,0,61,0,0,4.46,1.68,1,4Yr,San Diego State University ,San Diego,CA
690,1990,17,470,19,Red Sox,N,Evan Pratte (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Missouri State University ,Springfield,MO
691,1990,18,497,19,Red Sox,N,Rob Henkel (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jacinto College ,Pasadena,TX
692,1990,19,524,19,Red Sox,Y,Brian Young (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Ohio University ,Athens,OH
693,1990,20,550,18,Red Sox,Y,Mike DeKneef (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Lewis-Clark State College ,Lewiston,ID
694,1990,21,576,18,Red Sox,N,Chad Trahan (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Seminole State College ,Seminole,OK
695,1990,22,602,18,Red Sox,Y,Dave Klvac (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jacinto College ,Pasadena,TX
696,1990,23,628,18,Red Sox,Y,Ryan Maloney (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lancaster HS ,Lancaster,OH
697,1990,24,654,18,Red Sox,Y,Tim Smith (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Boston College ,Chestnut Hill,MA
698,1990,25,680,18,Red Sox,Y,Bill Norris (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Eckerd College ,St. Petersburg,FL
699,1990,26,706,18,Red Sox,N,Les Norman (minors),OF,-0.5,78,89,0,0.169,0.466,0,0,0,0,0,0,4Yr,University of St. Francis ,Joliet,IL
700,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,College of the Sequoias ,Visalia,CA
701,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,College of the Sequoias ,Visalia,CA
702,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Northwest Missouri State University ,Maryville,MO
703,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Northwest Missouri State University ,Maryville,MO
704,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,College of the Sequoias ,Visalia,CA
705,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,College of the Sequoias ,Visalia,CA
706,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Northwest Missouri State University ,Maryville,MO
707,1990,27,732,18,Red Sox,Y,Chris Davis (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Northwest Missouri State University ,Maryville,MO
708,1990,28,758,18,Red Sox,Y,John Crimmins (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Norwood HS ,Norwood,MA
709,1990,29,784,18,Red Sox,Y,Scott Bethea (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Louisiana State University ,Baton Rouge,LA
710,1990,30,810,18,Red Sox,N,Jerry Burns (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Napa Valley College ,Napa,CA
711,1990,31,836,18,Red Sox,N,Jeff Johnson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Fresno City College ,Fresno,CA
712,1990,32,862,18,Red Sox,N,Joseph Mondello (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,San Jacinto College ,Pasadena,TX
713,1990,33,888,18,Red Sox,N,James Young (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Weaver HS ,Weaver,AL
714,1990,34,914,18,Red Sox,N,Nick Ortiz (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Cidra HS ,Cidra,Puerto
715,1990,36,966,18,Red Sox,Y,Tim Davis (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Southern Illinois University Carbondale ,Carbondale,IL
716,1990,37,992,18,Red Sox,N,Greg Sorrell (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Poway HS ,Poway,CA
717,1991,1,23,23,Red Sox,Y,Aaron Sele (minors),RHP,20.3,72,58,0,0.155,0.386,404,148,112,4.61,1.49,0,4Yr,Washington State University ,Pullman,WA
718,1991,1s,37,37,Red Sox,Y,*J.J. Johnson (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Pine Plains HS ,Pine Plains,NY
719,1991,1s,43,43,Red Sox,Y,*Scott Hatteberg (minors),C,10.1,1314,4226,106,0.273,0.772,0,0,0,0,0,0,4Yr,Washington State University ,Pullman,WA
720,1991,2,51,7,Red Sox via Royals,Y,*Terry Horn (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Yukon HS ,Yukon,OK
721,1991,2,67,23,Red Sox,Y,Chad Schoenvogel (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Blinn College ,Brenham,TX
722,1991,3,96,23,Red Sox,Y,Joe Caruso (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Loyola Marymount University ,Los Angeles,CA
723,1991,4,122,23,Red Sox,Y,Joe Ciccarella (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Loyola Marymount University ,Los Angeles,CA
724,1991,5,148,23,Red Sox,N,Mark Carroll (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Holliston HS ,Holliston,MA
725,1991,6,174,23,Red Sox,Y,Donny Jones (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Poway HS ,Poway,CA
726,1991,7,200,23,Red Sox,Y,Dan Collier (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Enterprise-Ozark Community College ,Enterprise,AL
727,1991,8,226,23,Red Sox,Y,Luis Ortiz (minors),3B,-1.2,60,145,2,0.228,0.615,0,0,0,0,0,0,4Yr,Union University ,Jackson,TN
728,1991,9,252,23,Red Sox,N,Dan McDonald (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Evans HS ,Orlando,FL
729,1991,10,278,23,Red Sox,Y,Tony Rodriguez (minors),SS,0.3,27,67,1,0.239,0.59,0,0,0,0,0,0,4Yr,College of Charleston ,Charleston,SC
730,1991,11,304,23,Red Sox,Y,Jim Crowley (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Clemson University ,Clemson,SC
731,1991,12,330,23,Red Sox,Y,Craig Bush (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lancaster HS ,Lancaster,OH
732,1991,13,356,23,Red Sox,Y,John Eierman (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Rice University ,Houston,TX
